Guest,Group 1,Group 2,Group 3,Group 4
1,1,11,21,31
2,1,12,30,32
3,1,13,29,40
4,1,14,28,39
5,1,15,27,38
6,1,16,26,37
7,1,17,25,36
8,1,18,24,35
9,1,19,23,34
10,1,20,22,33
11,2,11,22,32
12,2,12,21,33
13,2,13,30,31
14,2,14,29,40
15,2,15,28,39
16,2,16,27,38
17,2,17,26,37
18,2,18,25,36
19,2,19,24,35
20,2,20,23,34
21,3,11,23,33
22,3,12,22,34
23,3,13,21,32
24,3,14,30,31
25,3,15,29,40
26,3,16,28,39
27,3,17,27,38
28,3,18,26,37
29,3,19,25,36
30,3,20,24,35
31,4,11,24,34
32,4,12,23,35
33,4,13,22,33
34,4,14,21,32
35,4,15,30,31
36,4,16,29,40
37,4,17,28,39
38,4,18,27,38
39,4,19,26,37
40,4,20,25,36
41,5,11,25,35
42,5,12,24,36
43,5,13,23,34
44,5,14,22,33
45,5,15,21,32
46,5,16,30,31
47,5,17,29,40
48,5,18,28,39
49,5,19,27,38
50,5,20,26,37
51,6,11,26,36
52,6,12,25,37
53,6,13,24,35
54,6,14,23,34
55,6,15,22,33
56,6,16,21,32
57,6,17,30,31
58,6,18,29,40
59,6,19,28,39
60,6,20,27,38
61,7,11,27,37
62,7,12,26,38
63,7,13,25,36
64,7,14,24,35
65,7,15,23,34
66,7,16,22,33
67,7,17,21,32
68,7,18,30,31
69,7,19,29,40
70,7,20,28,39
71,8,11,28,38
72,8,12,27,39
73,8,13,26,37
74,8,14,25,36
75,8,15,24,35
76,8,16,23,34
77,8,17,22,33
78,8,18,21,32
79,8,19,30,31
80,8,20,29,40
81,9,11,29,39
82,9,12,28,40
83,9,13,27,38
84,9,14,26,37
85,9,15,25,36
86,9,16,24,35
87,9,17,23,34
88,9,18,22,33
89,9,19,21,32
90,9,20,30,31
91,10,11,30,40
92,10,12,29,31
93,10,13,28,39
94,10,14,27,38
95,10,15,26,37
96,10,16,25,36
97,10,17,24,35
98,10,18,23,34
99,10,19,22,33
100,10,20,21,32
